 boardname, lna2_cap_band
'C09', 23
'C09', 23
'C09', 23
'C09', 24
'C09', 25
'C09', 25
'C09', 24
'C09', 25
'C09', 23
'C09', 23
'C09', 23
'C09', 24
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 23
'C09', 23
'C09', 23
'C09', 24
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 24
'C09', 24
'C09', 23
'C09', 24
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 25
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 25
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 25
'C09', 24
'C09', 23
'C09', 24
'C09', 24
'C09', 25
'C09', 24
'C09', 24
'C09', 25
'C09', 23
'C09', 23
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 24
'C09', 25
'C09', 23
'C09', 23
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 23
'C09', 23
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 23
'C09', 23
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 24
'C09', 25
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 24
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 25
'C09', 25
