 temperature, vdd, script, V_1v5_V, I_1v5_A, V_3v_V, I_3v_A
27.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.546, 0.098, 3.09, 0.3795
27.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.546, 0.098, 3.09, 0.3784
27.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.546, 0.098, 3.09, 0.3708
27.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.546, 0.098, 3.09, 1.6666
27.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.546, 0.098, 3.09, 0.1202
27.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.546, 0.098, 3.09, 0.1197
27.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.546, 0.098, 3.09, 0.1186
27.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.546, 0.098, 3.09, 0.1153
27.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.546, 0.098, 3.09, 0.1126
27.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.546, 0.098, 3.09, 0.1136
27.0, 'HV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.546, 0.098, 3.09, 0.1202
27.0, 'HV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.546, 0.098, 3.09, 0.1197
27.0, 'HV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.546, 0.098, 3.09, 0.1147
27.0, 'HV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.546, 0.098, 3.09, 0.1164
27.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.449, 0.081, 2.9, 0.3571
27.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.449, 0.081, 2.9, 0.3533
27.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.449, 0.081, 2.9, 0.3538
27.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.449, 0.084, 2.9, 0.3522
27.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.449, 0.081, 2.9, 0.1126
27.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.449, 0.081, 2.9, 0.1131
27.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.449, 0.084, 2.9, 0.1126
27.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.449, 0.081, 2.9, 0.1082
27.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.449, 0.081, 2.9, 0.1076
27.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.449, 0.081, 2.9, 0.1076
27.0, 'LV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.449, 0.081, 2.9, 0.1126
27.0, 'LV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.449, 0.084, 2.9, 0.1115
27.0, 'LV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.449, 0.081, 2.9, 0.1082
27.0, 'LV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.449, 0.081, 2.9, 0.1082
27.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.497, 0.089, 3.002, 0.3708
27.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.497, 0.089, 3.002, 0.3675
27.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.497, 0.089, 3.002, 0.3544
27.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.497, 0.089, 3.002, 0.3631
27.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.497, 0.089, 3.002, 0.1147
27.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.497, 0.089, 3.002, 0.1164
27.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.497, 0.089, 3.002, 0.1164
27.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.497, 0.089, 3.002, 0.1115
27.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.497, 0.089, 3.002, 0.1115
27.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.497, 0.089, 3.002, 0.1104
27.0, 'NV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.497, 0.089, 3.002, 0.1169
27.0, 'NV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.497, 0.089, 3.002, 0.1147
27.0, 'NV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.497, 0.089, 3.002, 0.1131
27.0, 'NV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.497, 0.089, 3.002, 0.1104
85.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.546, 0.092, 3.09, 0.35
85.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.546, 0.092, 3.09, 0.3445
85.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.546, 0.092, 3.09, 0.3418
85.0, 'HV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.546, 0.092, 3.09, 0.3407
85.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.546, 0.092, 3.09, 0.1109
85.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.546, 0.092, 3.09, 0.1098
85.0, 'HV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.546, 0.092, 3.09, 0.1098
85.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.546, 0.092, 3.09, 0.1038
85.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.546, 0.092, 3.09, 0.1038
85.0, 'HV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.546, 0.092, 3.09, 0.1054
85.0, 'HV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.546, 0.092, 3.09, 0.1093
85.0, 'HV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.546, 0.092, 3.09, 0.1093
85.0, 'HV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.546, 0.092, 3.09, 0.106
85.0, 'HV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.546, 0.092, 3.09, 0.1065
85.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.449, 0.078, 2.9, 0.3308
85.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.449, 0.078, 2.9, 0.3243
85.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.449, 0.078, 2.9, 0.3243
85.0, 'LV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.449, 0.078, 2.9, 0.3193
85.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.449, 0.078, 2.9, 0.1016
85.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.449, 0.078, 2.9, 0.1033
85.0, 'LV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.449, 0.078, 2.9, 0.1027
85.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.449, 0.078, 2.9, 0.0972
85.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.449, 0.078, 2.9, 0.0972
85.0, 'LV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.449, 0.078, 2.9, 0.0983
85.0, 'LV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.449, 0.076, 2.9, 0.1027
85.0, 'LV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.449, 0.076, 2.9, 0.1033
85.0, 'LV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.449, 0.078, 2.9, 0.0972
85.0, 'LV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.449, 0.078, 2.9, 0.1
85.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2412_python.csv', 1.497, 0.084, 3.002, 0.3429
85.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2437_python.csv', 1.497, 0.084, 3.002, 0.3358
85.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2462_python.csv', 1.497, 0.084, 3.002, 0.3292
85.0, 'NV', 'LDOen_Wfm_80211b3_Acw_na_PolarTX_2484_python.csv', 1.497, 0.084, 3.002, 0.3341
85.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2412_python.csv', 1.497, 0.084, 3.002, 0.106
85.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2437_python.csv', 1.497, 0.084, 3.002, 0.1076
85.0, 'NV', 'LDOen_Wfm_80211g0_Acw_na_PolarTX_2462_python.csv', 1.497, 0.084, 3.002, 0.106
85.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2412_python.csv', 1.497, 0.084, 3.002, 0.1033
85.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2437_python.csv', 1.497, 0.084, 3.002, 0.1033
85.0, 'NV', 'LDOen_Wfm_80211g7_Acw_na_PolarTX_2462_python.csv', 1.497, 0.084, 3.002, 0.1022
85.0, 'NV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2422_python.csv', 1.497, 0.084, 3.002, 0.1065
85.0, 'NV', 'LDOen_Wfm_80211n0_Acw_na_PolarTX_2462_python.csv', 1.497, 0.084, 3.002, 0.1065
85.0, 'NV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2422_python.csv', 1.497, 0.084, 3.002, 0.1022
85.0, 'NV', 'LDOen_Wfm_80211n7_Acw_na_PolarTX_2462_python.csv', 1.497, 0.084, 3.002, 0.1022
